student_id,age,gender,parental_education,study_hours_week,attendance_rate,extracurricular,sleep_hours,previous_scores,tutoring,internet_quality,family_income,health_status,final_grade
STD00007,19,M,high_school,1.36,52.82,Yes,7.27,63.71,No,Excellent,High,Excellent,82.53
STD02450,19,F,master,11.21,43.54,No,5.5,68.1,Yes,Excellent,Low,Good,94.95
STD00039,22,F,bachelor,11.58,67.74,Yes,5.27,54.38,No,Excellent,Medium,Excellent,92.72
STD01251,25,F,BACHELOR,21.05,47.87,Yes,8.26,57.12,No,Excellent,Low,Good,100
STD01082,24,M,bachelor,12.24,52.58,Yes,,35.93,No,Excellent,Medium,Excellent,99.32
STD02185,18,F,doctorate,9.85,62.97,Yes,7.15,59.22,No,Good,Medium,Excellent,98.8
STD01693,24,F,bachelor,9.59,65.46,Yes,,44.36,No,Good,Medium,Excellent,87.51
STD00542,19,M,bachelor,,59.15,No,5.67,57.78,Yes,Good,,Excellent,100
STD01061,21,F,bachelor,17.81,55.32,Yes,,45.64,No,Excellent,High,Good,100
STD01636,23,M,high_school,12.76,45.95,Yes,5.43,70.05,No,Excellent,Low,Excellent,87.64
STD00065,25,M,high_school,7.96,46.56,Yes,6.58,65.53,No,,Low,Good,84.24
STD02291,21,M,master,4.8,50.71,Yes,,,No,Good,Medium,Excellent,81.05
STD02465,22,F,bachelor,5.7,69.49,Yes,8.11,31.43,Yes,,High,Excellent,95.6
STD01571,18,F,high_school,4.88,39.07,Yes,,44.43,No,Good,Medium,Excellent,76.02
STD01212,21,F,high_school,9.44,56.02,Yes,6.41,60.94,No,,High,Good,90.83
STD02326,22,F,master,11.88,,No,9.39,66.78,No,Poor,LOW,Good,90.32
STD01807,23,F,high_school,9.73,68.29,Yes,7.45,41.19,No,,Low,Excellent,96.42
STD01670,25,M,high_school,14.84,59.06,Yes,6.83,39.65,No,Excellent,Medium,Good,96.8
STD00580,23,F,high_school,2.25,66.83,No,,44.63,No,Good,High,Excellent,76.54
STD00952,22,M,doctorate,7.18,60.88,Yes,5.21,,No,Good,,Good,85.37
STD01971,21,F,high_school,12.01,70.46,Yes,7.83,62.93,No,Good,Medium,Good,95.47
STD02098,20,F,bachelor,,52.71,Yes,8.42,67.82,No,Excellent,,Good,100
STD01549,20,F,bachelor,11.49,56.34,No,7.2,63.46,No,Good,Medium,Good,92.96
STD00012,23,M,high_school,9.76,82.03,Yes,6.31,67.69,No,,High,Excellent,99.34
STD01124,22,F,high_school,5.62,91.74,Yes,5.55,65.94,No,Good,Low,Excellent,86.85
STD00457,22,M,high_school,16.51,72.95,Yes,5.66,64.55,Yes,Excellent,,Good,100
STD00075,21,F,bachelor,10.96,79.15,Yes,7.38,,Yes,Excellent,Low,Excellent,100
STD01655,24,M,bachelor,9.37,62.28,YES,7.36,67.84,Yes,,Low,Poor,92.18
STD00276,18,M,master,17.88,,Yes,6.32,,No,Excellent,Medium,Good,100
STD00589,24,F,master,9.74,57.24,No,5.94,54.19,No,Good,Low,Good,86.61
STD01039,21,F,high_school,11.45,104.31,No,7.46,61.59,No,Good,Low,Excellent,87.27
STD00390,20,F,high_school,10.91,68.78,No,4.03,58.35,No,Good,Medium,  Good ,87.38
STD00889,24,M,high_school,4.68,59.58,No,,71.81,No,Good,High,Good,84.27
STD01993,22,F,  bachelor ,7.06,62.73,No,7.44,57.14,Yes,Good,Medium,Excellent,95.88
STD01011,21,F,bachelor,12.49,60.69,Yes,5.47,67.9,Yes,Good,Low,Good,94.91
STD01484,20,M,doctorate,14.12,49.0,No,6.42,56.59,No,Excellent,Low,Good,97.43
STD01192,18,F,high_school,,58.09,Yes,8.04,65.76,No,Excellent,High,Excellent,99.05
STD01033,24,M,master,10.69,65.99,No,6.96,56.8,Yes,Good,Low,Good,93.11
STD00688,22,F,bachelor,17.2,59.41,Yes,6.06,58.4,No,Good,Medium,Excellent,100
STD02263,20,F,master,12.36,45.68,No,5.56,57.14,Yes,Poor,Low,Good,86.97
STD00365,22,M,bachelor,,51.84,Yes,6.59,57.56,No,Excellent,Medium,Good,93.83
STD00412,20,M,high_school,16.89,56.98,Yes,6.49,72.37,No,Good,Low,Excellent,98.33
STD00748,19,M,doctorate,13.74,45.61,Yes,6.82,51.88,No,Poor,  High ,Excellent,100
STD01059,25,M,high_school,18.15,68.68,Yes,6.11,74.84,No,Excellent,,Good,100
STD01314,22,M,high_school,15.28,62.12,Yes,7.54,59.07,No,Excellent,Medium,Good,100
STD01125,19,F,high_school,4.29,56.3,No,9.71,39.33,Yes,Poor,Medium,Good,75.96
STD01420,22,F,bachelor,21.7,55.32,Yes,6.76,53.37,Yes,Good,Medium,Excellent,100
STD02125,18,F,high_school,11.76,62.06,No,6.94,63.8,No,Excellent,Medium,Excellent,97.54
STD02264,24,M,master,7.59,50.64,Yes,9.3,53.8,No,Good,Medium,Good,86.38
STD01216,22,M,bachelor,13.3,73.89,No,8.89,50.88,No,Good,Low,Poor,99.97
STD01929,22,M,high_school,11.13,59.38,Yes,7.53,,Yes,Excellent,Medium,Excellent,100
STD01622,19,M,master,12.32,65.51,Yes,6.77,66.71,No,EXCELLENT,High,Good,100
STD00151,21,M,bachelor,9.69,58.07,No,8.11,75.39,Yes,Good,Medium,Excellent,99.75
STD00797,23,M,high_school,7.75,56.84,No,6.33,50.79,No,Excellent,Low,Excellent,88.79
STD00068,25,M,high_school,7.55,85.72,No,7.37,71.67,No,Good,Medium,Good,93.32
STD01620,24,F,high_school,1.87,65.59,Yes,6.23,70.93,Yes,Excellent,Medium,Excellent,89.39
STD02478,24,M,high_school,15.92,63.45,Yes,8.24,50.42,No,Excellent,Medium,Good,99.32
STD00452,18,M,high_school,9.1,,No,8.84,62.77,No,Good,Low,Good,81.53
STD00129,21,M,bachelor,5.12,,Yes,5.66,57.42,No,Excellent,,Good,86.69
STD01458,24,M,bachelor,1.61,52.87,Yes,6.2,,No,,Medium,Good,80.91
STD01062,22,M,high_school,14.87,64.4,No,10.52,72.04,No,Excellent,,Excellent,100
STD02492,23,M,master,10.6,59.29,Yes,6.46,59.89,No,Excellent,,Excellent,100
STD00620,19,F,high_school,13.57,61.84,Yes,8.9,44.33,No,Excellent,,Good,96.61
STD01629,22,F,bachelor,9.35,55.65,No,4.69,64.49,Yes,,Low,Excellent,89.95
STD00054,23,M,bachelor,,62.25,Yes,6.57,62.65,No,Excellent,Low,Good,80.46
STD00270,23,M,bachelor,10.0,63.41,No,8.08,55.91,No,Good,,Good,92.95
STD00788,23,M,doctorate,,46.63,No,6.45,61.22,No,Excellent,Medium,Good,89.72
STD00827,23,F,master,7.08,45.57,Yes,7.77,63.09,No,Good,Medium,Poor,87.76
STD00621,19,M,high_school,12.88,62.94,Yes,8.77,56.19,No,,Medium,Excellent,100
STD01772,25,F,bachelor,15.24,71.04,Yes,,55.05,No,Good,Medium,Good,98.34
STD01516,20,F,bachelor,,59.5,Yes,7.92,59.59,Yes,Excellent,High,Excellent,100
STD00190,23,M,master,13.18,52.57,Yes,6.76,74.62,No,Good,Medium,Good,99.74
STD01870,21,M,doctorate,7.71,72.78,Yes,6.92,51.27,No,Excellent,Medium,Excellent,99.82
STD00594,24,M,bachelor,11.74,73.23,Yes,6.75,41.85,Yes,Excellent,High,Good,100
STD02162,21,M,  high_school ,12.57,58.07,No,,74.83,No,Good,Medium,Excellent,94.66
STD01536,23,F,bachelor,6.17,36.53,Yes,4.87,,No,  Good ,Low,Good,77.78
STD01123,20,M,high_school,13.11,70.62,Yes,3.76,58.15,No,Poor,,Good,85.37
STD01839,21,F,bachelor,17.04,53.88,No,7.6,55.54,Yes,Good,High,Good,100
STD00745,19,F,high_school,0.52,50.42,No,7.67,47.88,Yes,Excellent,Medium,Good,78.68
STD00677,21,F,high_school,,58.36,Yes,6.58,50.51,No,,Medium,Good,94.53
STD00088,22,F,master,4.31,31.93,No,7.51,77.95,Yes,Excellent,Medium,Poor,90.72
STD01226,19,F,high_school,16.46,74.34,Yes,5.83,47.32,No,Poor,Low,Good,90.98
STD02390,23,F,master,12.81,54.3,Yes,7.14,57.49,Yes,Poor,Low,Good,98.13
STD01930,24,M,high_school,24.36,,Yes,7.26,45.58,No,Good,Medium,Good,95.6
STD00372,25,M,bachelor,19.12,67.06,No,7.7,62.09,Yes,Excellent,Low,Good,100
STD02062,19,M,high_school,6.9,62.27,No,,54.9,No,Excellent,High,Poor,90.53
STD01784,25,M,high_school,2.89,39.77,Yes,,43.43,Yes,,High,Good,81.92
STD02007,20,F,bachelor,5.89,81.16,Yes,7.46,53.22,Yes,Poor,,Good,89.64
STD01496,19,F,bachelor,10.71,60.31,Yes,5.26,74.31,No,Excellent,Medium,Poor,88.14
STD01894,19,M,high_school,19.69,59.2,Yes,5.7,76.43,No,Good,Medium,Good,100
STD02376,18,F,bachelor,6.16,,Yes,5.36,72.34,Yes,Excellent,,Good,97.34
STD00349,21,F,doctorate,4.86,68.35,Yes,,,No,Good,High,Good,93.42
STD01530,25,  F ,high_school,16.15,44.24,Yes,6.02,52.88,No,Excellent,Low,Good,90.5
STD01187,25,F,bachelor,13.02,58.02,No,6.5,65.69,Yes,Poor,Low,Poor,95.7
STD01791,18,F,high_school,4.34,70.72,No,8.58,59.23,Yes,Excellent,Medium,Good,90.22
STD00874,25,F,doctorate,1.73,67.06,Yes,6.88,51.93,No,Good,Medium,Good,79.58
STD00506,22,F,high_school,4.06,72.08,Yes,4.63,52.85,No,Poor,Medium,Good,77.52
STD00089,24,F,bachelor,,70.32,Yes,,65.03,No,Good,High,Good,94.57
STD00162,20,F,master,4.33,55.61,Yes,7.62,69.36,No,Good,High,Good,95.81
STD02219,22,F,high_school,14.97,70.05,Yes,6.68,68.32,No,Poor,High,Good,96.45
STD00154,24,M,bachelor,11.67,63.28,No,6.21,54.78,Yes,Good,,Good,97.56
STD00997,22,F,bachelor,8.81,56.89,Yes,8.04,74.69,No,,Low,Good,93.3
STD01890,18,F,high_school,0.14,,No,5.79,47.61,No,Good,Medium,Excellent,68.69
STD01208,21,F,bachelor,14.31,62.38,No,5.47,,No,Good,High,Excellent,100
STD00269,25,F,bachelor,8.07,60.91,No,7.17,64.85,Yes,Excellent,Medium,Poor,91.7
STD00305,24,F,bachelor,15.5,65.56,Yes,9.4,61.45,No,Good,Medium,Good,100
STD00577,23,F,bachelor,9.26,49.19,Yes,9.64,50.88,Yes,Good,Low,Good,96.04
STD00643,18,M,bachelor,6.29,73.91,Yes,8.29,69.06,Yes,Poor,Medium,Good,95.38
STD02365,22,F,bachelor,6.11,,Yes,6.8,46.35,No,Excellent,High,Excellent,89.89
STD01339,24,F,bachelor,0.55,54.68,Yes,6.54,67.11,Yes,Excellent,Low,Excellent,83.99
STD01812,23,M,doctorate,8.9,66.53,Yes,,50.25,Yes,Excellent,Low,Good,100
STD00985,23,M,bachelor,13.21,58.08,No,8.24,59.14,Yes,Good,Medium,Excellent,100
STD00986,20,M,master,6.08,76.4,No,7.27,72.75,No,Good,,Poor,87.42
STD00013,19,F,bachelor,7.48,56.72,No,,55.98,No,Excellent,Low,Excellent,83.47
STD00046,18,F,bachelor,0.51,63.39,Yes,7.51,,Yes,Good,Low,Good,78.27
STD01582,21,M,bachelor,12.55,48.35,No,8.09,55.59,No,Poor,Medium,Good,94.05
STD02024,23,F,high_school,11.22,,No,8.45,51.79,No,Excellent,Low,Good,92.78
STD01384,18,F,master,12.41,42.23,Yes,8.62,63.29,No,Excellent,Low,Good,95.06
STD01360,22,M,master,10.56,64.46,Yes,7.5,,Yes,Good,Medium,Excellent,100
STD00539,24,M,  bachelor ,7.07,74.37,No,,,No,Poor,Low,Good,79.82
STD01634,22,F,master,10.56,46.56,No,7.24,58.1,No,Good,High,Excellent,100
STD00722,19,F,master,1.91,,Yes,7.91,65.98,No,,,Poor,77.39
STD00566,21,F,master,14.57,64.74,Yes,,44.85,No,Good,,Excellent,100
STD00995,21,F,high_school,,79.84,Yes,7.68,63.03,Yes,Poor,High,Good,90.45
STD01832,25,F,high_school,11.67,70.31,Yes,7.45,50.76,Yes,Good,High,Excellent,100
STD00983,19,M,high_school,13.44,59.16,No,6.79,43.01,No,Excellent,Medium,Good,90.41
STD00273,21,F,bachelor,7.57,71.85,Yes,6.59,62.07,No,Poor,Medium,Good,86.8
STD02387,20,F,high_school,5.0,75.78,Yes,7.47,48.75,Yes,Good,High,Good,89.15
STD01716,25,F,bachelor,14.52,61.81,No,8.84,64.32,Yes,Poor,Medium,Good,100
STD02261,24,F,high_school,7.08,58.9,Yes,6.3,54.59,Yes,Good,Low,Excellent,85.41
STD00356,24,M,bachelor,17.85,53.91,Yes,5.01,50.19,NO,Excellent,Low,Good,98.13
STD01469,21,F,high_school,1.55,51.65,Yes,7.24,61.57,No,Good,Medium,Good,80.13
STD01525,21,F,high_school,12.38,72.65,No,5.49,65.24,No,Excellent,Medium,Good,94.99
STD01588,18,M,bachelor,2.95,61.13,No,7.12,64.35,No,Excellent,Medium,Good,84.97
STD01768,22,F,master,8.7,71.36,Yes,6.75,53.67,Yes,Poor,Medium,Good,89.0
STD01590,22,F,bachelor,4.31,65.51,  Yes ,,55.58,No,Excellent,High,Excellent,91.23
STD00633,19,M,bachelor,4.14,58.29,Yes,6.24,60.32,No,Excellent,Medium,Good,85.5
STD00072,21,F,bachelor,3.1,76.66,No,5.94,60.29,No,Excellent,Low,Good,88.37
STD00637,25,M,bachelor,12.59,77.36,No,8.14,60.09,Yes,Poor,,Good,100
STD01373,25,F,high_school,8.1,47.21,Yes,,33.28,Yes,Excellent,,Excellent,81.94
STD02199,19,F,high_school,17.34,70.77,Yes,7.59,39.52,No,Good,Medium,Good,100
STD00016,24,F,doctorate,8.26,49.13,No,7.64,47.71,No,Poor,Medium,Excellent,93.46
STD00469,24,  M ,bachelor,8.83,51.48,No,,49.57,No,Good,Medium,Excellent,92.41
STD02252,25,F,high_school,6.0,41.17,  No ,8.07,,No,Good,Medium,Poor,73.39
STD00336,19,F,bachelor,13.3,56.94,Yes,7.58,74.44,No,Good,Medium,Good,100
STD02189,22,F,master,8.34,55.91,Yes,5.98,60.75,No,Good,,Good,90.22
STD00787,21,M,bachelor,13.13,56.2,Yes,6.05,65.62,NO,Good,Low,Good,96.21
STD01076,25,F,high_school,5.04,57.39,Yes,6.64,42.52,Yes,Excellent,,Good,81.06
STD00853,19,F,master,9.57,54.25,Yes,6.31,61.0,No,,Medium,Good,85.97
STD00447,18,M,bachelor,2.01,62.78,Yes,5.93,54.34,No,Poor,Low,Good,75.87
STD00448,24,M,bachelor,9.71,51.76,Yes,6.39,64.67,No,Good,High,Good,97.34
STD01429,24,F,master,14.1,64.74,No,,52.6,No,Good,Medium,Good,98.85
STD01595,23,F,master,8.5,44.38,Yes,5.61,72.32,Yes,Excellent,Medium,Good,97.24
STD02118,24,M,master,19.5,64.04,Yes,7.42,59.48,Yes,Excellent,Medium,Good,100
STD02000,21,F,master,14.51,,No,8.32,49.78,No,Good,Medium,Good,100
STD00377,25,M,doctorate,10.93,73.27,No,,61.5,No,Good,,Poor,98.24
STD00337,22,F,high_school,,69.54,No,7.91,50.89,Yes,Excellent,,Good,100
STD01828,19,F,bachelor,,44.13,Yes,4.66,59.7,No,Excellent,Medium,Good,91.77
STD01470,24,M,high_school,99.5,58.0,Yes,,67.41,Yes,Good,Medium,Excellent,100
STD00913,25,M,bachelor,3.38,57.66,No,8.31,52.01,Yes,Good,,Excellent,94.47
STD02444,25,F,bachelor,3.42,46.56,Yes,6.39,63.85,No,Excellent,Low,Good,82.0
STD01713,25,M,bachelor,4.35,54.54,Yes,7.94,54.57,No,Excellent,Low,Good,85.11
STD02079,22,M,high_school,18.38,48.2,Yes,7.93,70.4,Yes,Poor,Medium,Good,100
STD02018,18,M,high_school,4.45,51.44,No,,59.88,No,Good,Low,Good,78.06
STD02044,25,M,doctorate,7.64,55.43,Yes,7.58,53.69,No,Poor,,Poor,85.7
STD01093,21,F,high_school,6.67,53.26,Yes,7.09,61.87,No,Poor,,  Good ,82.74
STD01507,22,F,high_school,8.4,73.97,No,8.65,72.99,No,Excellent,Medium,  Excellent ,95.49
STD01733,18,M,high_school,6.37,65.77,Yes,7.28,58.55,No,Good,Medium,Excellent,89.48
STD01862,23,F,high_school,6.56,66.29,Yes,,46.34,Yes,Excellent,Low,Poor,81.35
STD00071,19,F,master,10.17,,No,8.31,55.48,No,,Medium,Excellent,100
STD02127,18,F,master,14.22,65.46,Yes,6.8,,No,Good,Medium,Excellent,100
STD00979,23,M,high_school,8.64,55.24,Yes,5.9,67.88,No,Poor,Medium,Good,84.84
STD01423,18,M,bachelor,5.56,63.73,Yes,5.73,59.47,No,Poor,Medium,Good,83.43
STD02504,24,F,high_school,10.15,50.27,No,9.99,33.49,Yes,Good,Medium,Poor,83.99
STD01057,23,F,doctorate,13.08,73.26,Yes,6.93,57.2,Yes,Excellent,Low,Excellent,100
STD00470,22,M,master,8.85,90.89,No,7.26,70.6,No,Excellent,Low,Good,100
STD01418,19,M,bachelor,10.95,63.2,Yes,6.34,77.99,Yes,Good,Medium,Poor,97.9
STD01377,24,M,high_school,12.09,72.06,No,5.68,64.04,Yes,,Medium,Poor,95.44
STD00283,18,M,high_school,2.97,64.27,Yes,7.95,65.78,Yes,,,Good,80.99
STD00876,20,M,high_school,16.12,,Yes,7.22,77.1,No,Poor,,Good,98.86
STD00920,18,M,doctorate,,56.15,Yes,5.71,78.02,Yes,,Medium,Poor,100
STD01969,22,F,bachelor,,,No,,,No,Good,Low,Good,100
STD01211,18,F,bachelor,12.49,67.89,No,6.31,49.21,No,,,Good,95.08
STD00950,18,F,master,9.72,73.45,No,5.81,67.23,No,Excellent,,Good,100
STD00534,23,F,bachelor,13.52,63.82,No,,52.06,No,Good,Medium,Excellent,94.5
STD02290,19,M,master,12.81,62.87,Yes,7.0,59.49,No,,Medium,Good,100
STD01365,20,F,master,3.93,,Yes,7.13,57.58,Yes,Good,Medium,Good,89.85
STD00397,18,F,doctorate,13.32,81.02,No,4.97,55.81,No,Good,Low,Good,96.12
STD00185,18,M,bachelor,2.73,60.82,Yes,8.64,51.22,No,Poor,Medium,Good,77.74
STD00443,22,M,high_school,1.05,72.95,No,4.91,70.09,No,Excellent,Low,Excellent,75.85
STD00456,21,F,high_school,4.14,63.09,Yes,7.4,56.79,No,Good,Low,Good,78.37
STD01044,18,M,master,7.17,72.09,No,,,No,Good,,Excellent,93.13
STD01744,21,F,doctorate,18.21,63.72,No,7.34,60.22,No,Poor,High,GOOD,100
STD00082,20,M,bachelor,9.27,75.52,Yes,7.76,56.75,No,Good,High,Excellent,93.77
STD02459,23,M,high_school,,37.28,No,8.43,84.61,Yes,Good,High,Excellent,100
STD00405,18,F,high_school,5.14,,No,8.72,40.59,Yes,Good,High,Excellent,85.06
STD00240,25,M,high_school,12.97,68.02,Yes,5.36,40.05,No,Excellent,Medium,Good,88.56
STD00837,18,F,high_school,7.81,55.72,Yes,,57.74,Yes,Good,Low,Good,89.47
STD02128,25,F,bachelor,,57.89,Yes,5.07,55.22,Yes,,Low,Excellent,95.56
STD00740,25,F,bachelor,9.67,61.6,No,5.94,61.19,Yes,Good,,Excellent,98.18
STD00117,21,F,master,5.96,49.04,Yes,7.62,57.9,Yes,Good,High,Good,100
STD01531,24,F,master,13.27,52.75,No,8.0,49.89,No,Good,,Good,100
STD01013,19,M,high_school,10.79,65.71,Yes,7.32,65.98,No,,Medium,Good,91.07
STD02487,19,M,bachelor,4.34,67.23,Yes,8.74,53.74,No,Good,,Good,82.88
STD00485,24,F,master,11.43,58.35,Yes,8.15,53.1,No,Poor,High,Good,98.88
STD00287,18,M,high_school,0.55,68.3,No,5.82,53.4,No,Excellent,Low,Good,77.58
STD02103,22,M,bachelor,13.44,45.68,Yes,6.84,68.43,No,,High,Good,92.05
STD01474,25,M,high_school,12.97,60.44,Yes,7.19,76.26,No,Good,Low,Poor,91.49
STD00176,22,F,high_school,14.63,65.62,Yes,5.56,58.16,No,Poor,Medium,Excellent,89.04
STD01868,25,F,high_school,4.37,50.35,Yes,7.49,72.79,Yes,Poor,Medium,Excellent,87.24
STD00021,22,M,high_school,5.0,66.33,Yes,5.76,60.71,Yes,Excellent,Medium,Poor,84.36
STD01471,23,M,master,,61.24,Yes,5.3,57.68,No,Good,Medium,Poor,73.84
STD01167,23,F,high_school,7.99,64.99,Yes,5.17,56.25,Yes,Good,Low,Good,83.54
STD02419,18,F,high_school,6.72,53.71,Yes,7.2,68.33,No,Good,,Good,88.3
STD02192,21,M,doctorate,8.99,59.03,Yes,6.67,,No,Good,High,Excellent,100
STD02213,25,F,bachelor,7.04,59.91,Yes,6.36,50.79,No,Good,Low,Excellent,84.77
STD00933,18,F,high_school,6.77,58.55,No,,57.04,No,Good,Medium,Excellent,82.07
STD01856,25,M,master,9.89,56.07,Yes,6.77,,No,,Medium,Good,97.44
STD00358,19,F,bachelor,14.56,54.92,Yes,5.4,56.44,No,Good,Low,Good,94.12
STD00119,25,F,doctorate,10.97,,Yes,6.68,59.14,Yes,Good,High,Good,100
STD02303,25,F,high_school,13.84,56.85,No,6.26,52.49,Yes,Good,High,Good,96.89
STD01295,22,M,high_school,,66.22,No,7.32,62.14,No,Excellent,Low,Excellent,89.28
STD02385,22,F,doctorate,,58.68,Yes,,68.13,No,Good,High,Good,93.42
STD00407,25,M,bachelor,2.26,59.91,Yes,,56.78,Yes,Good,High,Good,94.23
STD01719,19,M,high_school,6.2,43.59,No,6.19,60.33,Yes,Good,Low,Good,83.86
STD00500,25,F,master,7.54,60.17,Yes,7.14,50.4,No,Good,Low,Good,91.26
STD00110,18,M,bachelor,8.72,72.51,No,8.04,64.77,No,Excellent,Low,Good,100
STD02089,23,M,master,4.6,38.22,Yes,7.23,69.36,No,Poor,Low,Excellent,82.61
STD00519,23,M,master,11.47,67.29,Yes,5.45,77.66,No,Good,Medium,Good,98.73
STD00004,19,F,bachelor,5.01,51.63,Yes,,66.8,No,Good,Medium,Excellent,89.67
STD02315,18,M,bachelor,17.15,76.68,No,6.57,46.26,No,Excellent,Low,Excellent,100
STD00558,23,F,high_school,,67.11,Yes,5.22,61.86,Yes,Good,Medium,Poor,98.32
STD02176,24,M,bachelor,10.98,,Yes,7.24,45.57,No,Poor,Medium,Good,91.4
STD01998,23,M,bachelor,3.09,43.36,No,9.99,65.12,Yes,Excellent,Medium,Good,88.38
STD00079,21,M,high_school,6.33,58.03,Yes,7.26,58.45,No,Excellent,,Good,85.59
STD00815,20,M,high_school,4.03,,Yes,7.64,69.7,No,Poor,Medium,Excellent,81.11
STD01029,24,M,high_school,,62.84,No,7.27,77.28,No,Excellent,Medium,Excellent,89.42
STD00764,20,F,master,6.71,63.67,Yes,5.78,37.84,No,,Low,Excellent,78.96
STD01609,22,M,master,18.22,54.58,Yes,4.53,68.93,No,Good,High,Excellent,100
STD01758,21,F,high_school,12.61,,No,7.76,61.22,Yes,Excellent,Low,Good,100
STD01304,19,F,high_school,6.47,77.94,Yes,6.11,,Yes,Poor,Medium,Excellent,84.32
STD00416,25,F,bachelor,11.42,56.21,Yes,5.48,49.37,Yes,Good,Low,Good,94.82
STD01281,22,F,bachelor,9.33,71.3,No,5.37,47.42,No,Good,Medium,Poor,81.62
STD02021,19,M,high_school,5.52,33.92,No,,51.52,No,GOOD,Low,Good,76.66
STD01269,24,M,master,12.4,50.69,Yes,6.07,43.9,Yes,Excellent,Medium,Good,100
STD00661,24,F,high_school,10.59,56.82,No,5.67,68.58,No,Good,Medium,Good,97.93
STD00385,24,M,doctorate,12.43,52.08,No,7.01,59.29,No,Good,Medium,Good,97.83
STD01352,19,F,master,8.24,,No,6.83,55.64,Yes,Excellent,Medium,Good,99.9
STD00124,19,M,bachelor,11.84,53.83,No,7.77,40.9,Yes,Good,Low,Good,91.09
STD00417,21,M,master,8.4,62.99,No,8.19,58.01,No,,High,Good,93.17
STD01848,21,F,bachelor,12.33,69.63,Yes,9.18,64.11,Yes,  Excellent ,High,Excellent,100
STD00632,23,M,bachelor,,66.72,Yes,,59.97,Yes,Good,Low,Excellent,100
STD00541,20,M,master,6.31,,No,8.19,52.76,No,,Medium,Excellent,90.36
STD02202,18,F,bachelor,4.96,84.49,Yes,5.64,48.37,Yes,Good,Medium,Good,89.67
STD01390,21,M,bachelor,7.68,54.11,Yes,6.48,68.42,Yes,Poor,,Good,87.38
STD01058,22,M,doctorate,16.98,55.33,Yes,7.84,68.4,No,Good,,Good,100
STD01198,19,M,high_school,9.45,57.38,Yes,8.35,59.49,No,Poor,Medium,Good,88.12
STD02275,25,M,high_school,3.41,53.92,Yes,5.5,53.53,No,Good,Medium,Poor,71.12
STD01793,20,M,bachelor,13.17,52.94,No,5.92,56.9,Yes,,Medium,Good,98.93
STD00930,25,M,high_school,3.19,55.51,No,6.56,61.39,No,,Low,Excellent,76.45
STD01116,20,F,high_school,12.41,104.68,Yes,9.12,42.71,No,Poor,,Good,88.04
STD00488,25,  F ,master,5.8,70.64,No,,57.08,No,Excellent,Medium,Good,87.71
STD00873,18,F,master,9.31,65.98,Yes,6.64,60.62,Yes,Excellent,Medium,Good,98.94
STD01303,19,M,high_school,9.54,62.54,Yes,8.33,,No,Good,Medium,Good,90.15
STD02023,25,F,bachelor,15.29,31.93,No,6.44,49.44,Yes,Excellent,Medium,Excellent,100
STD00051,24,F,high_school,6.98,66.82,Yes,6.2,49.59,Yes,Poor,Low,Excellent,83.61
STD01908,22,F,bachelor,,65.59,No,7.66,47.68,No,Excellent,High,Good,100
STD00820,23,F,doctorate,14.84,56.32,Yes,6.59,60.31,Yes,Poor,High,Good,100
STD02123,19,M,high_school,2.67,76.51,Yes,6.42,47.41,No,Good,Medium,Good,77.91
STD02132,22,M,master,8.55,51.48,Yes,7.13,80.96,Yes,Poor,Medium,Excellent,100
STD01363,22,F,doctorate,8.71,,Yes,7.52,65.48,No,Excellent,Medium,Good,100
STD02206,19,M,master,,54.32,No,6.01,73.92,No,Excellent,Low,Excellent,92.33
STD02276,19,M,bachelor,11.09,44.93,No,,44.12,No,Good,Medium,Good,91.82
STD00392,24,F,bachelor,3.03,53.16,Yes,6.86,42.49,Yes,Excellent,Medium,Excellent,88.77
STD02244,18,F,high_school,15.33,74.23,No,,73.58,  Yes ,Poor,  Medium ,Good,100
STD02220,24,F,high_school,6.44,58.0,Yes,4.5,53.56,No,Poor,High,Excellent,79.57
STD01875,24,F,master,3.28,71.73,Yes,6.74,63.95,No,Poor,Low,Good,85.47
STD00579,21,M,bachelor,,70.33,Yes,6.15,55.66,No,Excellent,Low,Good,81.2
STD01917,25,M,high_school,9.37,57.73,Yes,6.59,55.93,No,Good,Low,Good,87.0
STD01139,25,F,high_school,11.83,45.4,Yes,9.15,61.29,No,Excellent,High,Excellent,96.39
STD01695,18,M,bachelor,15.41,69.74,No,7.2,51.22,Yes,Excellent,Low,Excellent,100
STD00421,22,M,doctorate,13.06,69.11,Yes,6.01,65.18,No,Poor,Medium,Good,98.85
STD00345,19,M,doctorate,9.23,58.97,Yes,4.57,84.55,Yes,Poor,Low,Excellent,100
STD00197,24,M,bachelor,14.28,47.17,Yes,8.4,58.28,No,Excellent,Medium,Good,97.77
STD02428,24,F,high_school,1.65,68.97,No,9.55,63.08,Yes,Good,Low,Poor,75.51
STD00945,24,M,bachelor,13.17,45.83,No,8.69,42.76,No,Poor,Low,Good,84.41
STD01981,25,F,bachelor,3.05,61.47,Yes,7.02,48.53,Yes,Poor,,Good,76.83
STD01661,22,M,BACHELOR,15.3,52.59,Yes,,,No,Excellent,High,Good,100
STD00829,25,M,bachelor,,105.68,No,9.24,61.65,No,Good,Low,Good,88.7
STD00949,20,F,high_school,15.63,46.34,  Yes ,6.35,67.17,Yes,Good,High,Good,100
